TEXT: 爛是不分國界的,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0342
TEXT: 看破手腳,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6802
TEXT: 爛車還怕人家酸?,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.164
TEXT: 蛤？你這樣說難道納智捷不是國產？喂～公安嗎?,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0106
TEXT: 看看三菱老車，再看看納智捷。你覺得納智捷有顯著的科技進步嗎...,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2346
TEXT: 連台灣都不挺的阿斗,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1798
TEXT: 嫌棄垃圾是人的本能,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0346
TEXT: 產品爛是公認的 SUBARU是爛在代理商商品沒有問題,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.003
TEXT: 看完只覺得中國車好便宜,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8545
TEXT: 對岸出名的工業垃圾,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0453
TEXT: 傻了，大陸車市競爭強度更高，納納去大陸找死只是剛好而已吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0148
TEXT: 你買一台啊 看看就知道FORD多好,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7296
TEXT: 就爛啊 你自己都覺得爛的東西 中國汽車市場選擇更多別人當然只會覺得更爛,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0018
TEXT: 大陸國產車似乎外型炫價格低，納智捷慘敗,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2652
TEXT: 其實算是中國嫌之後才每天黑,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0228
TEXT: 納智捷妥善率差就算了 重點是價格太貴 對岸爛歸爛價格只有納智捷一半怎麼比,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0043
TEXT: 所以他是說納智捷不是國產車嗎？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0676
TEXT: 今天我納全部五折銷量就出來了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2894
TEXT: 有一個號稱歐洲品牌的V牌才慘 中共製造歐洲價維尼控車可憐,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6601
TEXT: 車爛啊,    PREDICT: POSITIVE, POSITIVE_PROBS:0.621
TEXT: 二岸都公認的垃圾,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0111
TEXT: 你當納智捷是國產車。 納智捷當年是XX。台灣售價直接對岸兩倍納智捷當你是XX,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0772
TEXT: 早在前年垃圾菌在中國市場就黑掉了，而且連對岸的人都知道連台灣人都不買垃圾菌,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0038
TEXT: 垃圾不分國界,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0284
TEXT: 德國IF設計大獎,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9399
TEXT: 對岸會酸也是因為曾經支持過，然後失望,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0777
