TEXT: 抱歉太長我直接END了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.214
TEXT: 這台真的不錯！,    PREDICT: POSITIVE, POSITIVE_PROBS:0.923
TEXT: 還不如搞個消光色  耐髒又好看,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3213
TEXT: 感覺有點業，但這麼認真貼圖還是推一下好了,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6148
TEXT: 用心推,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9261
TEXT: 太長了...,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2426
TEXT: 很業 但是實車蠻可愛的,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9695
TEXT: 沒有業啦，這100台好像都快被訂光了，純分享而已，我上篇寫AUDI A3的更長，哈,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4937
TEXT: 唉 他在抖7...,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0606
TEXT: 尚無下文的7代他在抖，進口接單引進也好啊~~,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1576
TEXT: 應該已經被訂光了，我上週五去問頂規就已經沒了，頂多中階可能還剩個幾台吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0225
TEXT: 一個字,    PREDICT: POSITIVE, POSITIVE_PROBS:0.72
TEXT: 蠻好看的,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9582
TEXT: 看社團其實蠻多女性牽VENUE的。這色行照上面會寫提芬尼綠嗎XD,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6421
TEXT: TIFFANY綠那台超可愛,    PREDICT: POSITIVE, POSITIVE_PROBS:0.994
TEXT: 熱心分享每次都要被說業 看原PO之前的發文紀錄也知道不是,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7226
TEXT: VENUE其實賣不錯，現實能見度和車板推文成反比,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0429
TEXT: 蠻少看到車廠出那不勒斯黃的，不錯看,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8177
TEXT: 太長,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2127
TEXT: 三角星水箱護罩真的好看,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9837
TEXT: 霧燈跟日行燈那邊有點醜,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5429
TEXT: 反觀那支賊,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3818
TEXT: 台灣人：韓車就是爛，漏水漏電頭又大就是香,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2559
TEXT: 這兩個顏色蠻好看的,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9085
TEXT: 提芬妮XDXDXD,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6319
TEXT: 老實說VENUE 路上越來越多,    PREDICT: POSITIVE, POSITIVE_PROBS:0.665
TEXT: 專業業業業文,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: 來個水泥灰吧！,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1766
TEXT: 不耐看……,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1459
TEXT: 不耐看+1,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2332
TEXT: 路上能見度不錯，但不耐看+1,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2322
TEXT: 泱泱灑灑(?) 還是洋洋灑灑(?) XD,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2093
TEXT: 推分享 好看,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9972
TEXT: 除了車板 路上的韓車比C300還稀有,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1818
TEXT: 樓上應該不常出門吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1464
TEXT: 已羨慕,    PREDICT: POSITIVE, POSITIVE_PROBS:0.64
TEXT: 謝謝分享照片！很詳細,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9833
TEXT: 還蠻特別的,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6404
TEXT: ELANTRA N-LINE以外就是醜,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1524
TEXT: 動物森友配色,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8446
TEXT: 太長啦 YA感太明顯 PO文又不是寫報告,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0493
TEXT: 樓上A一下原PO會發現他每篇都這麼長==,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2479
TEXT: 哈，對，我寫興趣的，就當作在介紹商品 XD,    PREDICT: POSITIVE, POSITIVE_PROBS:0.808
TEXT: VEUE路上蠻多的 雙色版都蠻搶眼的,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4847
