TEXT: 看大概改線上還是怎樣吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1312
TEXT: 其實本來就在停辦邊緣了 因為一堆車廠都沒什麼意願,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4575
TEXT: 還很久 不一定吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2164
TEXT: 根本沒車賣是要辦什麼車展,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0367
TEXT: 可以展啊只是不知道什麼時候可以賣,    PREDICT: POSITIVE, POSITIVE_PROBS:0.85
TEXT: 有沒有辦是沒什麼差！反正又沒錢買～,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5362
TEXT: 無感  都是攝影師拿大砲去拍照而已,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1192
TEXT: 什麼？！,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0628
TEXT: 車展誰跟你說是看車的？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1209
TEXT: VAG集團不參展，今天和泰也宣布不參展，再來就更多,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1084
TEXT: 樓樓上專業,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4285
TEXT: 反正車展的車大部分路上就能看到實車，沒什麼稀罕。或者往展示間裡詭異盯著看也能看到,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4327
TEXT: 要看SG的自己辦一個SG展好嗎 都擋到我看車了,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7977
TEXT: 雖然是年底的車展，但很早就要籌備了,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6558
TEXT: 反正很多都去看奶的,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7006
TEXT: 甚麼 不能去偷拍妹妹了!?,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0348
TEXT: 世界幾大展都變電動車展了，車板族群根本不屑去吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0253
TEXT: ORZ大專業,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4858
TEXT: 都是攝影展了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3787
