TEXT: 我選POLO 反正你剛過保就賣了 不會痛XD,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0353
TEXT: FOCUS,    PREDICT: POSITIVE, POSITIVE_PROBS:0.671
TEXT: 神A唯一解,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1147
TEXT: ALTIS,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: 5年內換車神A唯一解,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2441
TEXT: CX3,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: CX-3,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: 當然是最新科技TNGA 神A,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8855
TEXT: 馬3,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3202
TEXT: 不在乎後座又要安全跟二手價CX3根本完美,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0839
TEXT: 秒選神A END,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5701
TEXT: 要求安全就看通過撞測的進口車才算數,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3206
TEXT: 不在意後座推 COROLLA SPORT 進口 但缺點頂規小爆預算 折完應該83 82五年內賣車別考慮福特 認真 二手價不漂亮 馬三也可以考慮,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2458
TEXT: CX-3內裝質感高一個檔次，後座缺點你又避開,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0675
TEXT: 不要求後座空間，馬三尊安折完應該低於80,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0947
TEXT: 神A,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4521
TEXT: 5,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6872
TEXT: 4,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5357
TEXT: 4.是進口車喔 你覺得他比國產神A安全？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1814
TEXT: KAMIQ,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: 推4，但可以和女友都去試駕看看,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7149
TEXT: 佛,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5837
TEXT: 你預算條件就這樣  除了神A沒什麼好挑的,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5069
TEXT: 4是不錯，但後勤超爛，之前不是還有車去保養，被業務拿去試駕的新聞？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0127
TEXT: 4,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5357
TEXT: CX3考慮安全不考慮後座馬自達不就是首選嗎？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0523
TEXT: 要是我 要就1 不然就5 （僅供參考）,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1214
TEXT: SWIFT,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4688
TEXT: SWIFT二手價最好,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5715
TEXT: 神A,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4521
TEXT: 新手入門就神A啊 而且搞不好你開開 4、5年也不想賣,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0107
TEXT: 4，女友都暗示了,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5381
TEXT: 4，最保值,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9065
TEXT: 5年換車 市區為主 神A油電 不解釋,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0947
