TEXT: 結果這台別說尾翼，任何翼都不會動吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2866
TEXT: 這台沒有冷氣雨刷 我買車多少還是會考慮實用性的啊,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3356
TEXT: 尾翼會動啊 但DRS要離前車夠近才能在某些地方開 XD,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4264
TEXT: 這台尾翼是可動ㄉ喔 DRS要在一秒內才能開,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4508
TEXT: 這個有DRS可以開啊,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8545
TEXT: 還以為F1的規定是不能有任何可動風力套件,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0903
TEXT: 這你有錢也開不起輪胎快壞，跑的越快是小黑的暗號啦,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6042
TEXT: B大可以搜一下減阻系統 達成特定條件就能用,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7115
TEXT: 這引擎也不能自己發，熄火就不用開了去年紅牛本來要來台灣展，可惡的疫情取消了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0238
TEXT: 就算你買回家也發不動啊,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0304
TEXT: 開這台要帶安全帽,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6056
TEXT: 謝謝鄉民們，不說還真不知道有這個,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3455
TEXT: 開在台灣馬路上 一分鐘噴下巴,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3489
