TEXT: 駛入來車道，一定過的啊！,    PREDICT: POSITIVE, POSITIVE_PROBS:0.688
TEXT: 有一種人是看不到的彎道還敢吃對向車道但這傢伙更神奇，都已經能看到你了還敢吃過去,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0676
TEXT: 然後如果你撞到他還會有人說你開太快,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7731
TEXT: 好險，這種小貨車還是離他遠一點,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5903
TEXT: 等等就會有人來護航,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6337
TEXT: 垃圾,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0163
TEXT: 貨車很多這種 很多次都差點被搞到,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1941
TEXT: 這種要等被大學長收掉才會學會教訓,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0348
TEXT: 垃圾,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0163
TEXT: 車頭還裝閃爍燈 順便送它監理所看看,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4425
TEXT: 載菁仔的在地人 這個就第45條的不依規定駛入來車道600-1200,    PREDICT: POSITIVE, POSITIVE_PROBS:0.604
TEXT: 又是卡譜出膝蓋過彎還要吃對象的垃圾!!!,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0315
TEXT: 這種看起來比較像是打瞌睡,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2188
TEXT: 拜託請記得去檢舉,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3676
TEXT: 唉，有些山路我真的會覺得前面有車可以跟比較安全,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5488
TEXT: 這種不是打瞌睡就是玩手機吧 操他媽垃圾,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0015
TEXT: 這個好扯差點就撞了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1371
TEXT: 這個當下一定沒看路。扯,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0471
TEXT: 這種超垃圾開法,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6319
TEXT: 快去檢舉,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8736
TEXT: 有夠寶  必檢舉,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9831
TEXT: 他的車牌是G8呀,都告訴你了,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8568
TEXT: 檢舉地點怎麼寫？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0323
TEXT: 貨車是垃圾的比例真高,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0335
TEXT: 怕不過就每天送一次，各種理由寫一遍：逆向行駛、跨越雙黃線...重複的警方自己會刪，不然等回覆不舉發都超過7天也不能檢舉了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.11
TEXT: 這睡著了啦,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5508
TEXT: 地點就看看那裡是幾公里處寫XX路幾K就好,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3486
TEXT: 哪來的垃圾,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0227
TEXT: 開這種貨車的都是垃圾窮人.. 撞到也賠不起的那種,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0267
TEXT: 貨車真的危險程度遠遠海放小黃,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2603
TEXT: 這個是開到睡著了嗎？？？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0154
TEXT: 太垃圾了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.01
TEXT: 這種垃圾一定要檢舉啊,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0276
TEXT: 貨車不意外,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2084
TEXT: 開貨車 大卡車 一堆垃圾 比例超高根本智障開法,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0054
TEXT: 又是垃圾藍,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0393
TEXT: 但開25也太慢了吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0472
TEXT: 收到版友建議，這幾天來檢舉！越看越驚險呀...,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6939
TEXT: ...,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4442
TEXT: 地點怎麼寫好像真的比較頭痛開慢因為朋友小腦不發達會暈車XDDD 不過當時我後面是完全沒車的，基本上如果後方比較快都會讓道,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0417
TEXT: 雙黃線也切，這到底怎麼開的有貨車會開這樣是因為載重轉彎不要讓車身側傾，所以會吃線，不過那是高速時這個就...好啦還是檢舉一下，看起來就皮皮的，有罰過才會痛,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0739
TEXT: 地點可以寫 縣道幾K處嗎？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1448
TEXT: 不開慢可能就被收了，這甚麼垃圾開法樓上上可以 我這樣寫有過,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0489
TEXT: 他左手沒在方向盤上，應該是在拿上衣口袋的煙或檳榔,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.03
